item_oid,item_group_oid,order_number,mandatory,key_sequence,method_oid,imputation_method_oid,role,role_codelist_oid,collection_exception_condition_oid
I.STUDYID,G.DM.IC,1,Yes,,,,,,
I.RFICDAT,G.DM.IC,2,Yes,,,,,,
I.RFICTIM,G.DM.IC,3,Yes,,,,,,
I.RFICDATLAR1,G.DM.IC,4,No,,,,,,
I.RFICTIMLAR1,G.DM.IC,5,No,,,,,,
I.RFICDATLAR2,G.DM.IC,6,No,,,,,,
I.RFICTIMLAR2,G.DM.IC,7,No,,,,,,
I.BRTHDTCARGUS,G.DM.DM,1,Yes,,,,,,
I.BRTHDTC,G.DM.DM,2,Yes,,,,,,
I.AGE,G.DM.DM,3,Yes,,,,,,
I.SEX,G.DM.DM,4,No,,,,,,
I.SEXDEA,G.DM.DM,5,Yes,,,,,,
I.ETHNIC,G.DM.DM,6,Yes,,,,,,
I.RACE,G.DM.DM,7,Yes,,,,,,
I.RACEOTH,G.DM.DM,8,No,,,,,,
I.SUBJID,G.DM.DM,9,Yes,,,,,,
I.PREVSUBJ,G.DM.DM,10,No,,,,,,
I.STUDYID,G.MH.NS,1,Yes,,,,,,
I.SUBJID,G.MH.NS,2,Yes,,,,,,
I.STUDYID,G.VS.VS,1,Yes,,,,,,
I.SUBJID,G.VS.VS,2,Yes,,,,,,
I.VSDAT,G.VS.VS,3,Yes,,,,,,
I.SYSBP,G.VS.BPP,1,Yes,,,,,,
I.DIABP,G.VS.BPP,2,Yes,,,,,,
I.POSITION,G.VS.BPP,3,Yes,,,,,,
I.LATERALITY,G.VS.BPP,4,Yes,,,,,,
I.LOC,G.VS.BPP,5,Yes,,,,,,
I.PULSE,G.VS.BPP,6,Yes,,,,,,